DATE,M2,Open,High,Low,Close,Adj_Close,Volume_in_mln
2010-09-13,8682.7,1113.38,1123.87,1113.38,1121.9,1121.9,4521.05
2010-09-20,8646.1,1126.57,1144.86,1126.57,1142.71,1142.71,3364.08
2010-09-27,8603.5,1148.64,1149.92,1142.0,1142.16,1142.16,3587.86
2010-10-04,8692.9,1144.96,1148.16,1131.87,1137.03,1137.03,3604.11
2010-10-11,8715.5,1165.32,1168.68,1162.02,1165.32,1165.32,2505.9
2010-10-18,8738.6,1176.83,1185.53,1174.55,1184.71,1184.71,4450.05
2010-10-25,8667.9,1184.74,1196.14,1184.74,1185.62,1185.62,4221.38
2010-11-01,8705.5,1185.71,1195.81,1177.65,1184.38,1184.38,4129.18
2010-11-08,8768.7,1223.24,1224.57,1217.55,1223.25,1223.25,3937.23
2010-11-15,8788.1,1200.44,1207.43,1197.15,1197.75,1197.75,3503.37
2010-11-22,8764.3,1198.07,1198.94,1184.58,1197.84,1197.84,3689.5
2010-11-29,8785.2,1189.08,1190.34,1173.64,1187.76,1187.76,3673.45
